Municipality,Canton,Population,Area
Heimberg,BE,6765,5.4
Heimenhausen,BE,1115,5.84
Heimiswil,BE,1621,23.31
Heitenried,FR,1366,9.1
Hellikon,AG,782,7.07
Hellsau,BE,209,1.5
Hemberg,SG,920,20.22
Hemishofen,SH,468,7.89
Hemmiken,BL,251,3.41
Hendschiken,AG,1264,3.49
Henggart,ZH,2268,3.04
Henniez,VD,359,2.61
Herbetswil,SO,541,16.31
Herbligen,BE,600,2.74
Herdern,TG,1023,13.73
Hérémence,VS,1391,107.51
Hergiswil_NW,NW,5715,14.25
Hergiswil_bei_Willisau,LU,1908,31.34
Herisau,AR,15780,25.23
Hermance,GE,1036,1.45
Hermenches,VD,379,4.78
Hermrigen,BE,314,3.45
Herrliberg,ZH,6308,8.98
Hersberg,BL,309,1.69
Herznach,AG,1551,6.22
Herzogenbuchsee,BE,7140,9.83
Hettlingen,ZH,3179,5.82
Hildisrieden,LU,2275,6.99
Hilterfingen,BE,4072,2.8
Himmelried,SO,925,6.05
Hindelbank,BE,2495,6.75
Hinwil,ZH,11199,22.27
Hirschthal,AG,1589,3.54
Hittnau,ZH,3634,12.99
Hitzkirch,LU,5201,24.57
Hochdorf,LU,9832,9.56
Hochfelden,ZH,1934,6.18
Höchstetten,BE,278,2.57
Hochwald,SO,1306,8.29
Hofstetten_bei_Brienz,BE,531,8.73
Hofstetten-Flüh,SO,3108,7.52
Hohenrain,LU,2474,23.33
Hohentannen,TG,597,8
Holderbank_AG,AG,1320,2.33
Holderbank_SO,SO,693,7.78
Hölstein,BL,2499,5.97
Holziken,AG,1454,2.86
Homberg,BE,523,6.48
Hombrechtikon,ZH,8620,12.2
Homburg,TG,1537,24.15
Honau,LU,391,1.24
Horgen,ZH,20335,30.75
Höri,ZH,2738,4.77
Horn,TG,2600,1.75
Hornussen,AG,963,7.32
Horrenbach-Buchen,BE,226,20.41
Horriwil,SO,870,2.62
Horw,LU,13915,12.85
Hospental,UR,191,35.13
Hubersdorf,SO,742,1.37
Humlikon,ZH,486,3.68
Hundwil,AR,957,24.19
Hünenberg,ZG,8824,18.4
Hüniken,SO,126,1.01
Hüntwangen,ZH,1027,4.9
Hunzenschwil,AG,4015,3.26
Hüttikon,ZH,930,1.6
Hüttlingen,TG,837,11.65
Huttwil,BE,4836,17.31
Hüttwilen,TG,1701,17.63
Icogne,VS,565,24.93
Iffwil,BE,444,5.07
Ilanz/Glion,GR,4704,133.44
Illgau,SZ,797,10.98
Illnau-Effretikon,ZH,16975,32.91
Inden,VS,107,9.79
Ingenbohl,SZ,8856,13.42
Inkwil,BE,607,3.38
Innerthal,SZ,177,50.19
Innertkirchen,BE,1076,236.54
Ins,BE,3536,23.91
Interlaken,BE,5592,4.29
Inwil,LU,2557,10.29
Ipsach,BE,3996,1.89
Iseltwald,BE,441,21.92
Isenthal,UR,494,60.96
Isérables,VS,827,15.31
Islisberg,AG,609,1.64
Isone,TI,378,12.91
Itingen,BL,2085,3.11
Ittigen,BE,11335,4.22
Jaberg,BE,269,1.28
Jaun,FR,659,55.24
Jegenstorf,BE,5697,13.52
Jenaz,GR,1161,25.95
Jenins,GR,896,10.5
Jens,BE,666,4.62
Jonen,AG,2107,5.69
Jongny,VD,1550,2.16
Jonschwil,SG,3801,11.05
Jorat-Menthue,VD,1529,17.7
Jorat-Mézières,VD,2847,11.11
Jouxtens-Mézery,VD,1469,1.92
Juriens,VD,309,9.32
Jussy,GE,1294,11.35
Kaiseraugst,AG,5545,4.9
Kaiserstuhl,AG,437,0.31
Kaisten,AG,2671,18.09
Kallern,AG,368,2.67
Kallnach,BE,2207,18.05
Kaltbrunn,SG,4798,18.56
Kammersrohr,SO,29,0.94
Kandergrund,BE,780,32.11
Kandersteg,BE,1301,134.24
Känerkinden,BL,530,1.43
Kappel_SO,SO,3189,5.13
Kappel_am_Albis,ZH,1125,7.82
Kappelen,BE,1408,10.88
Kaufdorf,BE,1085,2.06
Kehrsatz,BE,4263,4.45
Kemmental,TG,2453,25.08
Kernenried,BE,531,3.32
Kerns,OW,6295,92.59
Kerzers,FR,5020,12.26
Kesswil,TG,992,4.41
Kestenholz,SO,1798,8.61
Kienberg,SO,514,8.56
Kiesen,BE,989,4.68
Kilchberg_BL,BL,161,1.6
Kilchberg_ZH,ZH,8470,2.59
Killwangen,AG,2080,2.41
Kippel,VS,331,11.68
Kirchberg_BE,BE,5940,9.02
Kirchberg_SG,SG,9016,42.56
Kirchdorf_BE,BE,1841,14.63
Kirchenthurnen,BE,273,1.23
Kirchleerau,AG,864,4.35
Kirchlindach,BE,3004,11.92
Kleinandelfingen,ZH,2076,10.29
Kleinbösingen,FR,654,3.03
Kleinlützel,SO,1244,16.34
Klingnau,AG,3486,6.72
Klosters-Serneus,GR,4437,219.89
Kloten,ZH,19408,19.33
Knonau,ZH,2305,6.49
Knutwil,LU,2182,9.73
Koblenz,AG,1670,4.06
Kölliken,AG,4467,8.84
Köniz,BE,41507,51.06
Konolfingen,BE,5292,12.71
Koppigen,BE,2092,6.93
Kradolf-Schönenberg,TG,3529,10.94
Krattigen,BE,1128,5.99
Krauchthal,BE,2333,19.37
Kreuzlingen,TG,21537,11.48
Kriechenwil,BE,420,4.78
Kriegstetten,SO,1315,1.12
Kriens,LU,26997,27.25
Küblis,GR,853,8.13
Künten,AG,1749,4.89
Küsnacht_ZH,ZH,14307,12.32
Küssnacht_SZ,SZ,12845,29.46
Küttigen,AG,6173,11.89
La_Baroche,JU,1176,31.13
La_Brévine,NE,627,41.93
La_Brillaz,FR,2028,10.28
La_Chaux_Cossonay,VD,421,6.77
La_Chaux-de-Fonds,NE,38625,55.74
La_Chaux-des-Breuleux,JU,89,4.05
La_Chaux-du-Milieu,NE,495,17.36
La_Côte-aux-Fées,NE,435,12.86
La_Ferrière,BE,542,14.17
La_Folliaz,FR,982,9.92
La_Grande-Béroche,NE,8964,42.21
La_Neuveville,BE,3698,6.8
La_Praz,VD,161,5.11
La_Punt-Chamues-ch,GR,712,63.22
La_Rippe,VD,1167,16.56
La_Roche,FR,1707,24.03
La_Sagne,NE,966,25.61
La_Sarraz,VD,2596,7.75
La_Sonnaz,FR,1129,6.93
La_Tène,NE,4954,5.32
La_Tour-de-Peilz,VD,11752,3.27
La_Verrerie,FR,1177,13.45
Laax,GR,1755,31.68
L'Abbaye,VD,1493,31.91
L'Abergement,VD,237,5.81
Lachen,SZ,8617,2.4
Laconnex,GE,682,3.82
Lajoux_JU,JU,664,12.39
Lalden,VS,669,1.28
Lamone,TI,1780,1.86
Lampenberg,BL,503,4.04
Lancy,GE,31942,4.84
Landiswil,BE,628,10.26
Landquart,GR,8849,18.92
Langenbruck,BL,957,15.7
Langendorf,SO,3772,1.96
Langenthal,BE,15639,17.24
Langnau_am_Albis,ZH,7533,8.67
Langnau_im_Emmental,BE,9419,48.38
Langrickenbach,TG,1279,10.85
Lantsch/Lenz,GR,554,21.83
Lauenen,BE,829,58.55
Lauerz,SZ,1081,9.18
Läufelfingen,BL,1321,8.14
Laufen,BL,5556,11.35
Laufenburg,AG,3635,14.45
Laufen-Uhwiesen,ZH,1668,6.29
Laupen,BE,3093,4.1
Laupersdorf,SO,1748,15.55
Lauperswil,BE,2629,21.17
Lausanne,VD,138905,41.37
Lausen,BL,5148,5.54
Lauterbrunnen,BE,2350,164.36
Lauwil,BL,316,7.32
Lavertezzo,TI,1329,58.14
Lavey-Morcles,VD,925,14.16
Lavigny,VD,1012,3.97
Lavizzara,TI,526,187.53
Lax,VS,308,5.42
Le_Bémont_JU,JU,314,11.67
Le_Cerneux-Péquignot,NE,317,15.68
Le_Châtelard,FR,378,7.47
Le_Chenit,VD,4597,99.18
Le_Flon,FR,1211,9.58
Le_Grand-Saconnex,GE,12131,4.36
Le_Landeron,NE,4647,10.23
Le_Lieu,VD,868,32.52
Le_Locle,NE,10389,23.08
Le_Mont-sur-Lausanne,VD,8097,9.72
Le_Mouret,FR,3134,18.6
Le_Noirmont,JU,1856,20.39
Le_Pâquier_FR,FR,1309,4.49
Le_Vaud,VD,1274,3.13
Leibstadt,AG,1319,6.38
Leimbach_AG,AG,452,1.13
Leissigen,BE,1079,10.41
Lengnau_AG,AG,2739,12.64
Lengnau_BE,BE,5195,7.43
Lengwil,TG,1682,8.84
Lenk,BE,2336,123.07
Lens,VS,4162,14.01
Lenzburg,AG,10572,11.35
Les_Bois,JU,1248,24.65
Les_Brenets,NE,1048,11.54
Les_Breuleux,JU,1536,10.82
Les_Clées,VD,181,7.04
Les_Enfers,JU,138,7.07
Les_Genevez_JU,JU,499,13.62
Les_Montets,FR,1439,10.31
Les_Planchettes,NE,205,11.69
Les_Ponts-de-Martel,NE,1275,18.13
Les_Verrières,NE,718,28.86
Leuggern,AG,2157,13.73
Leuk,VS,3926,55.13
Leukerbad,VS,1413,67.32
Leutwil,AG,765,3.76
Leuzigen,BE,1254,10.25
Leysin,VD,4032,18.54
Leytron,VS,3173,26.88
Lichtensteig,SG,1871,2.83
Liddes,VS,767,58.66
Liedertswil,BL,169,1.94
Liesberg,BL,1148,12.47
Liestal,BL,14269,18.17
Ligerz,BE,566,1.75
Lignerolle,VD,416,10.62
Lignières,NE,952,12.51
Lindau,ZH,5645,11.92
Linden,BE,1281,13.25
Linescio,TI,48,6.6
L'Isle,VD,1000,16.26
Locarno,TI,16012,18.79
Lohn_GR,GR,42,8.14
Lohn_SH,SH,771,4.88
Lohn-Ammannsegg,SO,2805,4.52
Löhningen,SH,1456,6.85
Lohnstorf,BE,225,1.81
Lommis,TG,1215,8.63
Lommiswil,SO,1528,5.77
Lonay,VD,2491,3.71
Longirod,VD,469,9.48
Losone,TI,6622,9.26
Lostallo,GR,760,50.9
Lostorf,SO,3959,13.27
Lotzwil,BE,2555,6.2
Lovatens,VD,141,3.47
Loveresse,BE,325,4.7
Lucens,VD,4133,19.29
Lufingen,ZH,2381,5.18
Lugano,TI,63494,75.98
Lugnez,JU,190,5.12
Luins,VD,605,2.64
Lully_FR,FR,1161,5.44
Lully_VD,VD,794,2.05
Lumino,TI,1470,10.17
Lumnezia,GR,2047,165.44
Lungern,OW,2122,46.49
Lupfig,AG,3117,8.45
Lupsingen,BL,1422,3.14
Lüscherz,BE,545,5.37
Lussery-Villars,VD,459,3.74
Lüsslingen-Nennigkofen,SO,1057,7.81
Lussy-sur-Morges,VD,668,2.36
Luterbach,SO,3485,4.55
Lüterkofen-Ichertswil,SO,786,4.39
Lüterswil-Gächliwil,SO,328,3.1
Luthern,LU,1295,37.83
Lütisburg,SG,1565,14.05
Lutry,VD,9986,8.43
Lütschental,BE,219,12.29
Lützelflüh,BE,4165,26.86
Lutzenberg,AR,1253,2.25
Luzein,GR,1573,83.82
Luzern,LU,81401,29.07
Lyss,BE,14887,14.87
Lyssach,BE,1424,6.04
Madiswil,BE,3279,23.16
Madulain,GR,209,16.35
Magden,AG,3918,11.01
Mägenwil,AG,2114,3.49
Maggia,TI,2586,111.17
Magliaso,TI,1607,1.1
Maienfeld,GR,2860,32.37
Maisprach,BL,939,5.02
Maladers,GR,505,7.62
Malans,GR,2341,11.38
Malters,LU,7231,28.6
Mammern,TG,650,5.47
Mandach,AG,341,5.56
Männedorf,ZH,10957,4.76
Manno,TI,1338,2.38
Maracon,VD,475,4.44
Marbach_SG,SG,2055,4.41
Marchissy,VD,454,11.94
Marly,FR,8201,7.71
Maroggia,TI,683,0.98
Marsens,FR,1913,7.83
Märstetten,TG,2784,9.93
Marthalen,ZH,1957,14.15
Martigny,VS,18174,24.94
Martigny-Combe,VS,2297,37.45
Maschwanden,ZH,641,4.68
Masein,GR,481,4.19
Massagno,TI,6268,0.73
Massongex,VS,1802,6.61
Massonnens,FR,527,4.3
Mathod,VD,616,6.6
Mathon,GR,53,15.13
Matran,FR,1523,2.92
Matten_bei_Interlaken,BE,4071,5.99
Mattstetten,BE,573,3.78
Matzendorf,SO,1317,11.29
Matzingen,TG,2675,7.69
Mauborget,VD,119,5.52
Mauensee,LU,1488,7.23
Maur,ZH,10170,14.81
Mauraz,VD,60,0.47
Medel_Lucmagn,GR,384,136.22
Meggen,LU,7138,7.25
Meienried,BE,53,0.65
Meierskappel,LU,1369,6.75
Meikirch,BE,2499,10.24
Meilen,ZH,13999,11.88
Meinier,GE,2141,6.94
Meinisberg,BE,1309,4.37
Meiringen,BE,4690,40.67
Meisterschwanden,AG,2967,4.28
Melano,TI,1445,4.57
Melchnau,BE,1536,10.37
Melide,TI,1816,1.64
Mellikon,AG,220,2.71
Mellingen,AG,5633,4.82
Mels,SG,8610,139.16
Meltingen,SO,645,5.76
Mendrisio,TI,14914,31.72
Ménières,FR,415,4.35
Menziken,AG,6308,6.4
Menzingen,ZG,4499,27.46
Menznau,LU,2902,30.38
Merenschwand,AG,3500,13.53
Mergoscia,TI,216,12.15
Merishausen,SH,849,17.54
Mervelier,JU,490,9.76
Merzligen,BE,400,2.26
Mesocco,GR,1374,164.75
Messen,SO,1493,11.9
Mettauertal,AG,2024,21.59
Mettembert,JU,105,2.36
Mettmenstetten,ZH,4886,13.07
Metzerlen-Mariastein,SO,932,8.5
Mex_VD,VD,720,2.9
Meyriez,FR,575,0.34
Meyrin,GE,24144,9.9
Mézières_FR,FR,1076,8.95
Mezzovico-Vira,TI,1356,11.13
Miège,VS,1348,2.54
Mies,VD,2050,3.51
Miglieglia,TI,311,5.14
Milvignes,NE,9008,8.82
Minusio,TI,7226,5.84
Mirchel,BE,630,2.35
Misery-Courtion,FR,1958,11.39
Missy,VD,351,3.05
Möhlin,AG,11061,18.81
Moiry,VD,313,6.68
Mollens_VD,VD,300,11.06
Molondin,VD,232,5.52
Mönchaltorf,ZH,3735,7.61
Montagny_FR,FR,2536,17.52
Montagny-près-Yverdon,VD,716,3.51
Montanaire,VD,2596,33.47
Montcherand,VD,481,3.04
Monteceneri,TI,4502,36
Monteggio,TI,891,3.33
Montet_Glâne,FR,391,2.22
Montfaucon,JU,623,18.24
Mönthal,AG,395,3.93
Montherod,VD,532,4.96
Monthey,VS,17563,28.65
Montilliez,VD,1731,11.84
Mont-la-Ville,VD,418,19.81
Mont-Noble,VS,1068,43.85
Montpreveyres,VD,647,4.16
Montreux,VD,26574,33.46
Montricher,VD,986,25.95
Mont-sur-Rolle,VD,2708,3.85
Mont-Tramelan,BE,118,4.71
Mont-Vully,FR,3601,17.5
Moosleerau,AG,910,3.86
Moosseedorf,BE,4114,6.36
Morbio_Inferiore,TI,4572,2.28
Morcote,TI,725,2.78
Mörel-Filet,VS,678,8.5
Morges,VD,15838,3.87
Mörigen,BE,891,2.2
Möriken-Wildegg,AG,4437,6.6
Morlon,FR,595,2.61
Morrens_VD,VD,1090,3.71
Morschach,SZ,1103,20.85
Mörschwil,SG,3583,9.86
Mosnang,SG,2884,50.55
Mötschwil,BE,127,2.9
Moudon,VD,6187,15.65
Moutier,BE,7477,19.69
Movelier,JU,420,8.06
Muhen,AG,3876,7.02
Mühlau,AG,1174,5.52
Mühleberg,BE,2974,26.29
Mühlethurnen,BE,1378,2.91
Müllheim,TG,2930,8.77
Mülligen,AG,1107,3.18
Mümliswil-Ramiswil,SO,2441,35.4
Mumpf,AG,1469,3.15
Münchenbuchsee,BE,10079,8.84
Münchenstein,BL,12203,7.18
Münchenwiler,BE,514,2.48
Münchwilen_AG,AG,930,2.48
Münchwilen_TG,TG,5353,7.81
Münsingen,BE,12533,15.84
Münsterlingen,TG,3328,5.46
Muntelier,FR,972,1.14
Müntschemier,BE,1396,4.86
Muolen,SG,1200,10.37
Muotathal,SZ,3515,172.16
Muralto,TI,2713,0.63
Murgenthal,AG,2987,18.61
Muri_AG,AG,7809,12.32
Muri_bei_Bern,BE,13058,7.59
Muriaux,JU,493,16.89
Murten,FR,8222,24.74
Mutrux,VD,163,3.22
Muttenz,BL,17805,16.61
Muzzano,TI,812,1.52
Naters,VS,9983,147.36
Nebikon,LU,2645,3.73
Neckertal,SG,4043,48.95
Neerach,ZH,3151,6
Neftenbach,ZH,5553,15.05
Neggio,TI,317,0.83
Nendaz,VS,6595,85.89
Nenzlingen,BL,432,3.68
Nesslau,SG,3599,92.62
Neuchâtel,NE,33578,17.98
Neuendorf,SO,2157,7.14
Neuenegg,BE,5543,21.9
Neuenhof,AG,8783,5.41
Neuenkirch,LU,7104,25.46
Neuhausen_am_Rheinfall,SH,10454,7.99
Neuheim,ZG,2245,7.93
Neunforn,TG,986,11.35
Neunkirch,SH,2201,17.88
Neyruz,FR,2593,5.56
Nidau,BE,6827,1.53
Niederbipp,BE,4717,17.41
Niederbuchsiten,SO,1169,5.47
Niederbüren,SG,1524,15.82
Niederdorf,BL,1807,4.37
Niedergesteln,VS,703,17.69
Niederglatt,ZH,4949,3.61
Niedergösgen,SO,3861,4.32
Niederhasli,ZH,9202,11.29
Niederhelfenschwil,SG,3117,16.37
Niederhünigen,BE,614,5.4
Niederlenz,AG,4785,3.29
Niedermuhlern,BE,499,7.19
Niederönz,BE,1675,2.81
Niederried_bei_Interlaken,BE,348,4.26
Niederrohrdorf,AG,4116,3.34
Niederweningen,ZH,3035,6.85
Niederwil_AG,AG,2833,6.07
Nods,BE,761,26.6
Noréaz,FR,695,6.9
Nottwil,LU,3848,10.33
Novaggio,TI,829,4.33
Novalles,VD,101,2.01
Novazzano,TI,2365,5.21
Noville,VD,1054,10.4
Nuglar-St._Pantaleon,SO,1486,6.34
Nunningen,SO,1893,10.25
Nürensdorf,ZH,5611,10.09
Nusshof,BL,255,1.73
Nuvilly,FR,424,3.95
Nyon,VD,20533,6.87
Oberägeri,ZG,6059,30.03
Oberbalm,BE,869,12.34
Oberbipp,BE,1733,8.45
Oberbuchsiten,SO,2238,9.36
Oberbüren,SG,4321,17.8
Oberburg,BE,2917,14.12
Oberdiessbach,BE,3523,16.52
Oberdorf_BL,BL,2409,6.29
Oberdorf_NW,NW,3133,16.1
Oberdorf_SO,SO,1703,11.89
Oberegg,AI,1907,14.61
Oberembrach,ZH,1058,10.19
Oberems,VS,124,50.19
Oberengstringen,ZH,6620,2.13
Oberentfelden,AG,8353,7.21
Obergerlafingen,SO,1163,1.5
Oberglatt,ZH,6988,8.26
Obergoms,VS,662,155.93
Obergösgen,SO,2232,3.62
Oberhallau,SH,434,6.03
Oberhelfenschwil,SG,1267,12.71
Oberhof,AG,604,8.15
Oberhofen_am_Thunersee,BE,2415,2.75
Oberhünigen,BE,308,6.04
Oberiberg,SZ,888,33.18
Oberkirch,LU,4679,9.11
Oberkulm,AG,2712,9.43
Oberlangenegg,BE,475,9.13
Oberlunkhofen,AG,2039,3.27
Obermumpf,AG,1072,5.03
Oberried_am_Brienzersee,BE,476,20.18
Oberrieden,ZH,5090,2.76
Oberriet_SG,SG,8839,34.55
Oberrohrdorf,AG,4080,4.32
Oberrüti,AG,1535,5.34
Obersaxen_Mundaun,GR,1160,70.31
Obersiggenthal,AG,8559,8.37
Obersteckholz,BE,412,3.91
Oberthal,BE,731,10.55
Oberuzwil,SG,6450,14.09
Oberweningen,ZH,1802,4.91
Oberwil_BL,BL,11221,7.87
Oberwil_bei_Büren,BE,856,6.75
Oberwil_im_Simmental,BE,797,45.91
Oberwil-Lieli,AG,2419,5.36
Obfelden,ZH,5356,7.56
Ochlenberg,BE,563,12.1
Oekingen,SO,835,2.39
Oensingen,SO,6299,12.07
Oeschenbach,BE,240,3.88
Oeschgen,AG,1025,4.42
Oetwil_am_See,ZH,4762,6.09
Oetwil_an_der_Limmat,ZH,2479,2.77
Oftringen,AG,13792,12.88
Ogens,VD,304,3.38
Ollon,VD,7497,59.53
Olsberg,AG,358,4.64
Olten,SO,18389,11.46
Oltingen,BL,470,7.2
Onex,GE,18977,2.82
Onnens_VD,VD,476,5.13
Onsernone,TI,693,105.27
Opfikon,ZH,19978,5.6
Oppens,VD,194,3.62
Oppligen,BE,644,3.41
Orbe,VD,6987,12.04
Orges,VD,336,4.06
Origlio,TI,1471,2.08
Ormalingen,BL,2201,6.94
Ormont-Dessous,VD,1115,64.1
Ormont-Dessus,VD,1468,61.6
Orny,VD,357,5.51
Oron,VD,5461,24.61
Orpund,BE,2734,3.94
Orselina,TI,735,1.94
Orsières,VS,3190,164.91
Orvin,BE,1204,21.62
Orzens,VD,194,4.21
Ossingen,ZH,1567,13.09
Ostermundigen,BE,17546,5.97
Otelfingen,ZH,2842,7.19
Othmarsingen,AG,2892,4.72
Ottenbach,ZH,2569,5.01
Oulens-sous-Echallens,VD,578,5.87
Pailly,VD,543,5.76
Pampigny,VD,1126,11.11
Paradiso,TI,4144,0.85
Paudex,VD,1481,0.5
Payerne,VD,9699,24.22
Penthalaz,VD,3276,3.85
Penthaz,VD,1725,3.85
Penthéréaz,VD,418,5.71
Perly-Certoux,GE,3074,2.56
Perrefitte,BE,460,8.61
Perroy,VD,1508,2.87
Personico,TI,344,38.91
Péry-La_Heutte,BE,1933,23.75
Peseux,NE,5825,3.42
Petit-Val,BE,408,23.82
Pfäfers,SG,1574,128.41
Pfäffikon,ZH,11864,19.51
Pfaffnau,LU,2668,17.66
Pfeffingen,BL,2358,4.86
Pfungen,ZH,3851,4.99
Pfyn,TG,1943,13.07
Pierrafortscha,FR,154,5.07
Pieterlen,BE,4225,8.37
Plaffeien,FR,3601,66.61
Plan-les-Ouates,GE,10697,5.82
Plasselb,FR,1048,18.16
Plateau_de_Diesse,BE,2067,25.62
Pleigne,JU,353,17.81
Pohlern,BE,257,9.89
Poliez-Pittet,VD,850,4.97
Pollegio,TI,757,5.98
Pompaples,VD,853,4.44
Pomy,VD,785,5.6
Ponte_Capriasca,TI,1889,6.21
Ponte_Tresa,TI,795,0.41
Pont-en-Ogoz,FR,1807,10.13
Ponthaux,FR,727,5.93
Pont-la-Ville,FR,599,4.36
Pontresina,GR,2195,118.21
Porrentruy,JU,6809,14.79
Port,BE,3624,2.43
Port-Valais,VS,3995,14.37
Porza,TI,1580,1.54
Poschiavo,GR,3516,190.97
Prangins,VD,4072,6.05
Prato_Leventina,TI,413,16.82
Pratteln,BL,16388,10.74
Pregny-Chambésy,GE,3970,3.25
Premier,VD,210,6.05
Presinge,GE,687,4.72
Préverenges,VD,5286,1.85
Prévondavaux,FR,70,1.83
Prévonloup,VD,160,1.81
Prez-vers-Noréaz,FR,1109,5.72
Prilly,VD,12110,2.19
Provence,VD,388,31.88
Puidoux,VD,2902,22.8
Pully,VD,18160,5.94
Puplinge,GE,2430,2.65
Pura,TI,1364,3.09
Quarten,SG,2877,61.69
Quinto,TI,1044,75.28
Radelfingen,BE,1266,14.71
Rafz,ZH,4483,10.71
Rain,LU,2770,9.44
Ramlinsburg,BL,746,2.26
Ramsen,SH,1478,13.45
Rances,VD,485,9.88
Randa,VS,444,54.44
Raperswilen,TG,391,7.72
Rapperswil_BE,BE,2659,22.55
Rapperswil-Jona,SG,26989,22.15
Raron,VS,1930,30.27
Realp,UR,151,77.81
Rebeuvelier,JU,386,8.42
Rebstein,SG,4501,4.35
Recherswil,SO,1968,3.34
Rechthalten,FR,1083,7.29
Reconvilier,BE,2308,8.24
Regensberg,ZH,474,2.39
Regensdorf,ZH,18317,14.6
Rehetobel,AR,1750,6.71
Reichenbach_im_Kandertal,BE,3616,125.78
Reichenburg,SZ,3633,11.54
Reiden,LU,7038,27
Reigoldswil,BL,1613,9.18
Reinach_AG,AG,8490,9.55
Reinach_BL,BL,19144,6.93
Reisiswil,BE,177,1.97
Reitnau,AG,1542,7.98
Rekingen_AG,AG,944,3.12
Remaufens,FR,1072,5.9
Remetschwil,AG,1993,3.85
Remigen,AG,1136,7.89
Renan_BE,BE,923,12.64
Renens_VD,VD,21036,2.95
Rennaz,VD,843,2.18
Reute_AR,AR,690,4.95
Reutigen,BE,983,11.28
Reverolle,VD,382,1.16
Rhäzüns,GR,1494,13.28
Rheinau,ZH,1299,8.93
Rheineck,SG,3485,2.22
Rheinfelden,AG,13537,16.05
Rheinwald,GR,635,136.82
Riaz,FR,2627,7.78
Richterswil,ZH,13454,7.53
Rickenbach_BL,BL,594,2.92
Rickenbach_LU,LU,3254,11.78
Rickenbach_SO,SO,964,2.76
Rickenbach_TG,TG,2768,1.59
Rickenbach_ZH,ZH,2671,6.05
Riddes,VS,3079,23.89
Ried_bei_Kerzers,FR,1185,7.54
Ried-Brig,VS,2092,47.61
Riederalp,VS,481,19.04
Riedholz,SO,2322,7.17
Riehen,BS,21244,10.89
Riemenstalden,SZ,88,11.21
Rietheim,AG,727,3.91
Rifferswil,ZH,1103,6.58
Riggisberg,BE,2491,29.91
Ringgenberg_BE,BE,2663,8.74
Riniken,AG,1449,4.76
Risch,ZG,10515,14.82
Riva_San_Vitale,TI,2617,6.08
Rivaz,VD,352,0.29
Riviera,TI,4192,86.57
Roche_VD,VD,1647,6.42
Rochefort,NE,1266,25.79
Roches_BE,BE,196,9.03
Rodersdorf,SO,1317,5.32
Roggenburg,BL,268,6.68
Roggliswil,LU,688,6.22
Roggwil_BE,BE,4051,7.84
Roggwil_TG,TG,3050,11.93
Rohr_SO,SO,96,2.22
Rohrbach,BE,1469,4.08
Rohrbachgraben,BE,397,6.46
Rolle,VD,6218,2.72
Romainmôtier-Envy,VD,550,6.99
Romanel-sur-Lausanne,VD,3298,2.92
Romanel-sur-Morges,VD,469,1.71
Romanshorn,TG,10770,8.69
Römerswil,LU,1769,16.68
Romont_BE,BE,188,6.94
Romont_FR,FR,5304,10.88
Romoos,LU,670,37.35
Ronco_sopra_Ascona,TI,608,4.99
Rongellen,GR,53,2.04
Root,LU,4995,8.65
Ropraz,VD,456,4.77
Rorbas,ZH,2841,4.5
Rorschach,SG,9418,1.77
Rorschacherberg,SG,7177,7.12
Röschenz,BL,1880,10.02
Rossa,GR,152,58.93
Rossemaison,JU,641,1.93
Rossenges,VD,62,1.06
Rossinière,VD,543,23.35
Röthenbach_im_Emmental,BE,1184,36.8
Rothenbrunnen,GR,311,3.1
Rothenburg,LU,7571,15.49
Rothenfluh,BL,780,10.91
Rothenthurm,SZ,2395,22.76
Rothrist,AG,9109,11.82
Rottenschwil,AG,857,4.46
Rougemont,VD,889,48.54
Roveredo_GR,GR,2483,38.77
Rovio,TI,838,5.64
Rovray,VD,186,3.23
Rubigen,BE,2924,6.94
Rüderswil,BE,2363,17.19
Rüdlingen,SH,753,5.53
Rudolfstetten-Friedlisberg,AG,4507,4.88
Rüdtligen-Alchenflüh,BE,2396,2.71
Rue,FR,1505,11.27
Rüeggisberg,BE,1789,35.75
Rüegsau,BE,3256,15.03
Rueyres,VD,256,1.99
Rüfenach,AG,854,4.18
Rumendingen,BE,77,2.48
Rümikon,AG,337,2.93
Rumisberg,BE,487,5.13
Rümlang,ZH,7968,12.42
Rümligen,BE,440,4.7
Rümlingen,BL,390,2.29
Rünenberg,BL,777,4.96
Rupperswil,AG,5491,6.16
Rüschegg,BE,1630,57.3
Rüschlikon,ZH,5853,2.93
Russikon,ZH,4367,14.27
Russin,GE,548,4.93
Ruswil,LU,6856,45.3
Rüte,AI,3606,40.77
Rüthi_SG,SG,2357,9.32
Rüti_ZH,ZH,12157,10.09
Rüti_bei_Büren,BE,846,6.5
Rüti_bei_Lyssach,BE,166,1.33
Rütschelen,BE,564,4.01
Rüttenen,SO,1495,8.79
Saanen,BE,6901,120.07
Saas-Almagell,VS,377,110.52
Saas-Balen,VS,349,30.29
Saas-Fee,VS,1597,40.33
Saas-Grund,VS,1027,24.79
Sachseln,OW,5092,53.86
Safenwil,AG,3844,6.03
Safiental,GR,905,151.42
Safnern,BE,1903,5.64
Sagogn,GR,686,6.95
Saicourt,BE,626,13.8
Saignelégier,JU,2558,31.76
Saillon,VS,2574,13.68
Saint-Aubin_FR,FR,1755,7.91
Saint-Barthélemy_VD,VD,771,4.14
Saint-Blaise,NE,3230,8.87
Saint-Brais,JU,226,15.14
